Title1,Title_URL1,inlineblock1,textxs1,prxs1,plxs1,mrmd2,mrm1,capitalize1,capitaliz1,button_URL1,button1,Title,Title_URL,inlineblock,textxs,prxs,plxs,mrmd,mrmd1,capitalize,capitalize2,button_URL,button
Headband,https://www.leafly.com/strains/headband,Hybrid,aka HB,4.2,(2642),THC 19%,CBG 1%,Euphoric,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Headband,shop menus,,,,,,,,,,,,
Truffle,https://www.leafly.com/strains/truffle,Hybrid,"aka Truffles, Trufflez",3.8,(29),THC 20%,CBD —,Sleepy,,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Truffle,shop menus,,,,,,,,,,,,
Bacio Gelato,https://www.leafly.com/strains/bacio-gelato,Hybrid,,4.8,(45),THC —,CBD —,Aroused,,,,,,,,,,,,,,,
G13,https://www.leafly.com/strains/g-13,Indica,"aka G-13, G Thirteen",4.3,(1162),THC 20%,CBG 1%,Sleepy,Myrcene,,,,,,,,,,,,,,
Khalifa Kush,https://www.leafly.com/strains/khalifa-kush,Hybrid,"aka KK, Wiz Khalifa, Wiz Khalifa Kush, Kalifa Kush",4.6,(681),THC 21%,CBD 0%,Creative,Limonene,,,,,,,,,,,,,,
Purple Runtz,https://www.leafly.com/strains/purple-runtz,Hybrid,aka Purple Runts,4.6,(57),THC 14%,CBD 0%,Euphoric,Caryophyllene,,,,,,,,,,,,,,
Jet Fuel Gelato,https://www.leafly.com/strains/jet-fuel-gelato,Hybrid,aka Jetlato,4.5,(104),THC 22%,CBG 1%,Aroused,Limonene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Jet%20Fuel%20Gelato,shop menus,,,,,,,,,,,,
Purple Urkle,https://www.leafly.com/strains/purple-urkle,Indica,,4.3,(1283),THC 18%,CBD 0%,Sleepy,Myrcene,,,,,,,,,,,,,,
Wedding Pie,https://www.leafly.com/strains/wedding-pie,Hybrid,,4.7,(98),THC 26%,CBG 1%,Sleepy,Limonene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Wedding%20Pie,shop menus,,,,,,,,,,,,
Amnesia,https://www.leafly.com/strains/amnesia,Sativa,,4.2,(779),THC 19%,CBG 2%,Giggly,Terpinolene,,,,,,,,,,,,,,
Haze,https://www.leafly.com/strains/haze,Sativa,"aka Original Haze, Haze Brothers",4.1,(471),THC 18%,CBD 0%,Energetic,Myrcene,,,,,,,,,,,,,,
Pink Kush,https://www.leafly.com/strains/pink-kush,Hybrid,"aka Pink OG, Sedamen",4.5,(764),THC 19%,CBG 1%,Sleepy,Myrcene,,,,,,,,,,,,,,
Hindu Kush,https://www.leafly.com/strains/hindu-kush,Indica,aka Hindi Kush,4.3,(1208),THC 19%,CBG 1%,Sleepy,Limonene,,,,,,,,,,,,,,
Watermelon Zkittlez,https://www.leafly.com/strains/watermelon-zkittlez,Indica,aka Watermelon Skittles,4.5,(117),THC 25%,CBG 1%,Giggly,Limonene,,,,,,,,,,,,,,
Gorilla Cookies,https://www.leafly.com/strains/gorilla-cookies,Hybrid,,4.6,(284),THC 21%,CBG 1%,Relaxed,Caryophyllene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Gorilla%20Cookies,shop menus,,,,,,,,,,,,
Gumbo,https://www.leafly.com/strains/gumbo,Indica,,4.5,(72),THC —,CBD —,Sleepy,,,,,,,,,,,,,,,
Grape Pie,https://www.leafly.com/strains/grape-pie,Hybrid,,4.7,(62),THC 22%,CBG 1%,Happy,Limonene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Grape%20Pie,shop menus,,,,,,,,,,,,
9 lb Hammer,https://www.leafly.com/strains/9-pound-hammer,Indica,"aka 9 Pound Hammer, Nine Pound Hammer",4.6,(1044),THC 20%,CBG 1%,Sleepy,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=9%20lb%20Hammer,shop menus,,,,,,,,,,,,
Pink Rozay,https://www.leafly.com/strains/pink-rozay,Indica,,4.8,(50),THC 20%,CBG 1%,Aroused,Myrcene,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Pink%20Rozay,shop menus,,,,,,,,,,,,
Afghani,https://www.leafly.com/strains/afghani,Indica,"aka Afghan, Afghanistan",4.3,(678),THC 19%,CBG 1%,Sleepy,Myrcene,,,,,,,,,,,,,,
Orange Cookies,https://www.leafly.com/strains/orange-cookies,Hybrid,,4.6,(496),THC 20%,CBG 1%,Happy,Terpinolene,,,,,,,,,,,,,,
Watermelon,https://www.leafly.com/strains/watermelon,Indica,"aka Watermelon Kush, Watermelon OG",4.4,(304),THC —,CBD —,Sleepy,,https://www.leafly.com/search/shop?shopCategory=strain&shopName=Watermelon,shop menus,,,,,,,,,,,,
